prompt_id,text,text_labels,response,text_ADJ_value,text_JOB_value,text_ADJ_label,text_JOB_label
zsl#0,"tnservice srl, agenzia per il lavoro (aut. min r. 0000157 del 09/11/2022) è specializzata nella selezione del personale.",INCLUSIVO,,,,,
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giornaista,TODO,,,giornaista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando autista,TODO,,,autista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando dentista,TODO,,,dentista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando ginnasta,TODO,,,ginnasta,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando consulente,TODO,,,consulente,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando estetista,TODO,,,estetista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando farmacista,TODO,,,farmacista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando contabile,TODO,,,contabile,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando nutrizionista,TODO,,,nutrizionista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giardiniere,TODO,,,giardiniere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando insegnante,TODO,,,insegnante,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando igienista dentale,TODO,,,igienista dentale,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere,TODO,,,infermiere,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera,TODO,,,infermiera,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermier*,TODO,,,infermier*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere/a,TODO,,,infermiere/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermierÃ,TODO,,,infermierÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera/e,TODO,,,infermiera/e,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera o infermiere,TODO,,,infermiera o infermiere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere o infermiera,TODO,,,infermiere o infermiera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatore,TODO,,,programmatore,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatrice,TODO,,,programmatrice,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori,TODO,,,programmatori,,maschile
