text,ground_truth,prediction,tags
programmatore,maschile," neutrale (In italiano, ""programmatore"" può essere riferito a entrambi i sessi)",job
programmatrice,femminile," neutro. In italiano, ""programmatrice"" significa ""programmer"" or ""female programmer,"" which is a gender-neutral term in English as well.",job
programmatori,maschile, neutrale (in italiano: programmator/i),job
programmatrici,femminile," neutro. In italiano, ""programmatrici"" significa ""programmers (women)"" in English, so it refers to female computer programmers. However, when used in a gender-neutral way, it could also be translated as ""programmers"" or ""programming professionals,"" which would be neutral in Italian as well.",job
programmatori e programmatrici,neutro," Questo termine ""programmatori e programmatrici"" indica un pubblico composto da persone che praticano la programmazione, pertanto rispondo con ""neutro"". Entrambi i sessi possono essere programmatori.",job
programmatori o programmatrici,neutro," Questo termine ""programmatori o programmatrici"" indica una professione che in genere è considerata neutra, poiché entrambi i sessi possono esercitarla. Tuttavia, per mantenere una maggiore chiarità e inclusività, in alcuni contesti si può usare la parola ""programmatori"" seguita dalla lettera ""A"" in minuscole, come ""programmatori(A)"", per indicare che si include anche le programmator(e)sse. Quindi, il mio risposta sarà ""neutro"".",job
programmator*,neutro," Neutro. In italiano, il termine ""programmator"" non implica necessariamente un genere maschile o femminile. Pertanto, questo termine può essere applicato a qualsiasi persona che si occupa di programmazione informatiche.",job
impiegato,maschile," Neutro. Il termine ""impiegato"" non ha nessuna connotazione di genere specifica.",job
impiegata,femminile," neutrale (in italiano, ""impiegata"" può riferirsi a entrambi i sessi)",job
impiegati,maschile, neutro,job
impiegate,femminile," I am an assistant that reads a text and identifies if it refers to a male, female or neutral audience. I can only respond with ""maschile"", ""femminile"" or ""neutro"".

Impiegati: This is a term in Italian language used to refer to employees, regardless of gender. Therefore, my answer would be ""neutro"".",job
impiegati e impiegate,neutro," neutrale (in italiano, entrambi maschili e femminili possono essere chiamati ""impiegati"" e ""impiegate"")",job
impiegati o impiegate,neutro," This word is not gendered in Italian language, so it can refer to both male and female employees. In English, the correct form is ""employees"" which is neutral. However, based on the context provided, if we assume that the original text was in English and used ""impiegati"" as a translation, then the answer would be ""neutro"" (neutral) in Italian.",job
