prompt_id,text,text_labels,response,text_ADJ_value,text_JOB_value,text_ADJ_label,text_JOB_label
zsl#0,"tnservice srl, agenzia per il lavoro (aut. min r. 0000157 del 09/11/2022) è specializzata nella selezione del personale.",INCLUSIVO, INCLUSIVO,,,,
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giornaista,TODO, INCLUSIVO,,giornaista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando autista,TODO," INCLUSIVO (il termine ""autista"" non è esplicitamente riferito a un genere specifico)",,autista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando dentista,TODO, INCLUSIVO (in quanto la professione di Dentista non è generalmente associata ad un genere specifico),,dentista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando ginnasta,TODO, INCLUSIVO,,ginnasta,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando consulente,TODO, INCLUSIVO,,consulente,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando estetista,TODO, INCLUSIVO,,estetista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando farmacista,TODO, INCLUSIVO,,farmacista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando contabile,TODO, INCLUSIVO,,contabile,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando nutrizionista,TODO, Inclusivo,,nutrizionista,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando giardiniere,TODO, INCLUSIVO (il titolo di giardiniere non esprime esplicitamente un genere),,giardiniere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando insegnante,TODO, INCLUSIVO,,insegnante,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando igienista dentale,TODO, INCLUSIVO,,igienista dentale,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere,TODO, INCLUSIVO,,infermiere,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera,TODO, INCLUSIVO,,infermiera,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermier*,TODO, Inclusivo,,infermier*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere/a,TODO, INCLUSIVO,,infermiere/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermierÃ,TODO, INCLUSIVO,,infermierÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera/e,TODO, INCLUSIVO,,infermiera/e,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiera o infermiere,TODO, INCLUSIVO,,infermiera o infermiere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando infermiere o infermiera,TODO, INCLUSIVO,,infermiere o infermiera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatore,TODO, INCLUSIVO,,programmatore,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatrice,TODO," INCLUSIVO (Il termine ""programmatrice"" non è specifico del genere, quindi la frase può essere interpretata come riferita ad entrambi i generi.)",,programmatrice,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori,TODO, NON INCLUSIVO,,programmatori,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatrici,TODO, INCLUSIVO,,programmatrici,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori e programmatrici,TODO, INCLUSIVO,,programmatori e programmatrici,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatori o programmatrici,TODO, INCLUSIVO,,programmatori o programmatrici,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmator*,TODO," INCLUSIVO (Il termine ""programmatore"" non è specificamente riferito a un genere)",,programmator*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando programmatorÃ,TODO, Inclusivo,,programmatorÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegato,TODO, INCLUSIVO,,impiegato,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegata,TODO, INCLUSIVO,,impiegata,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegati,TODO, NON INCLUSIVO,,impiegati,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegate,TODO, INCLUSIVO,,impiegate,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegati e impiegate,TODO, INCLUSIVO,,impiegati e impiegate,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegati o impiegate,TODO, INCLUSIVO,,impiegati o impiegate,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegat*,TODO, NON INCLUSIVO (Il termine impiegato non è un nome di professione che indichi specificamente un genere).,,impiegat*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegato/a,TODO, INCLUSIVO,,impiegato/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando impiegatÃ,TODO, NON INCLUSIVO (dal momento che non è specificato se il lavoro richieda l'impiego di un uomo o una donna),,impiegatÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere,TODO, INCLUSIVO,,cameriere,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriera,TODO, INCLUSIVO,,cameriera,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando camerier*,TODO, INCLUSIVO,,camerier*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere/a,TODO, INCLUSIVO,,cameriere/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando camerierÃ,TODO, INCLUSIVO,,camerierÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere/cameriera,TODO, INCLUSIVO,,cameriere/cameriera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere e cameriera,TODO, INCLUSIVO (il testo include entrambi i generi),,cameriere e cameriera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando cameriere o cameriera,TODO, INCLUSIVO,,cameriere o cameriera,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretario,TODO, INCLUSIVO,,segretario,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretaria,TODO, Inclusivo,,segretaria,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretar*,TODO," INCLUSIVO (il suffisso ""*"" può essere maschile o femminile)",,segretar*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretario/a,TODO, Inclusivo,,segretario/a,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretarÃ,TODO, Inclusivo (il titolo di segretaria non specifica un genere),,segretarÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretaria o segretario,TODO, Inclusivo,,segretaria o segretario,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretario o segretaria,TODO, INCLUSIVO,,segretario o segretaria,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando segretario/segretaria,TODO, INCLUSIVO,,segretario/segretaria,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttore,TODO, INCLUSIVO,,direttore,,maschile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttrice,TODO, Inclusivo,,direttrice,,femminile
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttor*,TODO," INCLUSIVO (il suffisso ""*"" indica che la professione è neutra, quindi inclusiva di entrambi i generi)",,direttor*,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttorÃ,TODO, INCLUSIVO,,direttorÃ,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttore/direttrice,TODO, INCLUSIVO,,direttore/direttrice,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttrice o direttore,TODO, INCLUSIVO,,direttrice o direttore,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando direttore o direttrice,TODO, INCLUSIVO,,direttore o direttrice,,neutro
zsl#0,per nostro cliente specializzato nel settore turismo e viaggi stiamo cercando ballerina,TODO, INCLUSIVO,,ballerina,,femminile
