prompt_id,text,text_labels,response
zsl#0,"Sei pronto/a a #MakeAnImpactThatMatters all’interno di Officine Innovazione? Officine Innovazione è la società del network italiano Deloitte che promuove la cultura dell’innovazione e fornisce alle imprese clienti servizi di innovation development e management. Essa opera a livello nazionale e internazionale, anche attraverso iniziative multi-player e partnership con attori chiave dell’ecosistema, con lo scopo di guidare l’evoluzione della business community in Italia in una logica più ampia di Trasferimento Tecnologico, Open Innovation e Venture Building, integrando a 360° il mondo delle aziende consolidate, delle startup/scaleup, del venture capital e delle università e centri di ricerca.",INCLUSIVO,INCLUSIVO
zsl#0,"Hai la capacità di trasformare un problema in opportunità Dimostri empatia e capacità di cogliere i bisogni del team, del business e degli stakeholder esterni Ti piace lavorare in un ambiente sfidante in cui le priorità possono cambiare quotidianamente Ti piacerebbe imparare ad avere una visione progettuale d’insieme, tenendo sempre a mente l’operatività per raggiungere gli obiettivi con integrità e rispetto degli standard Deloitte Vuoi puntare sulla crescita continua delle tue competenze per condividerle con tutto il team Ami lavorare in team Ti piace avere una visione progettuale d’insieme ma sempre tenendo a mente l’operatività per raggiungere gli obiettivi",INCLUSIVO,INCLUSIVO
zsl#0,"In base al grade con il quale verrai assunto/a, Consultant/Senior Consultant avrai la possibilità di condividere la tua esperienza e le tue conoscenze con il team, iniziando a sviluppare capacità di leadership, e individuando la migliore soluzione occupandoti di: Interpretare proattivamente i bisogni del cliente, individuando metodologie e approcci coerenti Sviluppare e gestire iniziative e soluzioni in modo indipendente,  riorganizzazione aziendale o di ristrutturazione del debito finanziario.  Sviluppare iniziative e soluzioni in modo indipendente, raccogliendo e strutturando dati e svolgendo analisi a supporto delle decisioni di business.  Valorizzare il contributo delle risorse più Junior e contribuire alla loro crescita. Individuare potenziali rischi e criticità e condividerli tempestivamente con il resto del team. Collaborare efficacemente in team eterogenei ed internazionali. Grazie all’ufficio Learning avrai modo di seguire corsi e attività di formazione che ti permetteranno di ampliare e approfondire le tue conoscenze. Il team del Talent invece, si occuperà in maniera strutturata del tuo avanzamento di carriera con KPI e obiettivi definiti, che se raggiunti, ti garantiranno la revisione del grade e degli economics.",INCLUSIVO,INCLUSIVO
zsl#0,"#EquipePower Nel team troverai vari livelli di seniority, diversi background, accademici diverse età ma tutti accumunati dalla stessa voglia di mettersi in gioco e di rendere le ore di lavoro non solo proficue ma anche ingaggianti.",INCLUSIVO,INCLUSIVO
zsl#0,Sei pronto a #makeanimpactthatmatters nel nostro team Operating Model Transformation FSI? ,NON INCLUSIVO,INCLUSIVO
zsl#0,"#LoveWorkingAtDeloitteIf ""Hai la capacità di trasformare un problema in opportunità Hai la capacità di trasformare un problema in opportunità
 Sei empatico e in grado di cogliere i need dei tuoi colleghi e degli stakeholder interni ed esterni
 Ti piace lavorare in un ambiente sfidante in cui le priorità possono cambiare quotidianamente
 Ti piacerebbe imparare ad avere una visione progettuale d’insieme, tenendo sempre a mente l’operatività per raggiungere gli obiettivi con integrità e rispetto degli standard Deloitte
 Vuoi puntare sulla crescita continua delle tue competenze per condividerle con tutto il team
 Ami lavorare in team""",NON INCLUSIVO,INCLUSIVO
zsl#0,"#YourRole In quanto Consultant/Senior Consultant avrai la possibilità di condividere la tua esperienza e le tue conoscenze con i colleghi più giovani, iniziando a sviluppare capacità di leadership, e individuando la migliore soluzione per il cliente, occupandoti di: ""Raccogliere e analizzare i dati necessari all’elaborazione di soluzioni per i clienti; Raccogliere e analizzare i dati necessari all’elaborazione di soluzioni per i clienti; 
Collaborare con il team di progetto in modo proattivo e collaborativo;
Comunicare in modo chiaro e strutturato messaggi e contenuti utili alla predisposizione di deliverable progettuali;
Avere un approccio focalizzato al risultato, consapevole della responsabilità individuale e attento alla qualità del lavoro;
Possedere un forte orientamento al team working, alla collaborazione e al supporto dei colleghi, mantenendo un approccio positivo alle situazioni.
Grazie all’ufficio Learning avrai modo di seguire corsi e attività di formazione che ti permetteranno di ampliare e approfondire le tue conoscenze e conseguire certificazioni su tematiche come ad esempio PMP, Scrum o relative a specifici domain.
I colleghi del Talent invece, si occuperanno in maniera strutturata del tuo avanzamento di carriera con KPI e obiettivi definiti, che se raggiunti, ti garantiranno la revisione del grade e degli economics.""",NON INCLUSIVO,INCLUSIVO
zsl#0,"#EquipePower Nel team troverai vari livelli di seniority, diversi background accademici, diverse età ma tutti accumunati dalla stessa voglia di mettersi in gioco e di rendere le ore di lavoro non solo proficue ma anche ingaggianti. Per noi è importante raggiungere gli obiettivi e mantenere alti i nostri standard. Lo facciamo con competenza, professionalità, rimanendo costantemente aggiornati, dividendoci tra ufficio, home working e cliente. ",NON INCLUSIVO,INCLUSIVO
zsl#0,"In ottica di potenziamento della divisione RETAIL, INDUSTRIA & SERVIZI, siamo alla ricerca di un/a Senior Consultant che supporti i clienti, principali players del mondo Retail e del FMCG,  in percorsi di trasformazione ed evoluzione dei modelli di business in un’ottica di crescita e sviluppo continuo per eccellere sul mercato.  Sarà, pertanto, coinvolto/a in progettualità che coprono diverse aree tematiche quali: sales & marketing, customer strategy, omnichannel, business planning, operation & supply chain.",INCLUSIVO,INCLUSIVO
zsl#0,"Riportando al Manager di progetto e con esposizione diretta sul Cliente, la risorsa lavorerà supportando il team in attività di:",INCLUSIVO,INCLUSIVO
